x-axis,1,2,3,4
second,Ampere,Volt,Volt,Volt
+3.35000E-03,+447.99995E-03,-305.00031E-03,-4.24500084E+00,+3.86999893E+00
+3.40000E-03,+572.99995E-03,-1.55500031E+00,-1.12000084E+00,-3.00500107E+00
+3.45000E-03,+666.74995E-03,-2.18000031E+00,-1.74500084E+00,-3.00500107E+00
+3.50000E-03,+416.74995E-03,+4.06999969E+00,-9.87000084E+00,+15.74499893E+00
+3.55000E-03,+322.99995E-03,+319.99969E-03,-4.87000084E+00,+5.11999893E+00
+3.60000E-03,+510.49995E-03,-930.00031E-03,-3.62000084E+00,+1.99499893E+00
+3.65000E-03,+604.24995E-03,-2.18000031E+00,-1.74500084E+00,-2.38000107E+00
+3.70000E-03,+697.99995E-03,+4.69499969E+00,-9.87000084E+00,+16.36999893E+00
+3.75000E-03,+354.24995E-03,+3.44499969E+00,-9.24500084E+00,+15.74499893E+00
+3.80000E-03,+385.49995E-03,+319.99969E-03,-5.49500084E+00,+4.49499893E+00
+3.85000E-03,+541.74995E-03,-2.18000031E+00,-1.74500084E+00,-2.38000107E+00
+3.90000E-03,+666.74995E-03,-2.18000031E+00,-1.74500084E+00,-3.00500107E+00
+3.95000E-03,+604.24995E-03,+4.69499969E+00,-9.87000084E+00,+16.36999893E+00
+4.00000E-03,+354.24995E-03,+4.69499969E+00,-9.24500084E+00,+16.36999893E+00
+4.05000E-03,+479.24995E-03,+319.99969E-03,-4.87000084E+00,+3.86999893E+00
+4.10000E-03,+604.24995E-03,-1.55500031E+00,-2.37000084E+00,-3.00500107E+00
+4.15000E-03,+697.99995E-03,-1.55500031E+00,-2.37000084E+00,-3.00500107E+00
+4.20000E-03,+510.49995E-03,+5.31999969E+00,-9.87000084E+00,+15.74499893E+00
+4.25000E-03,+385.49995E-03,+2.19499969E+00,-9.24500084E+00,+16.36999893E+00
+4.30000E-03,+416.74995E-03,+1.56999969E+00,-4.24500084E+00,+2.61999893E+00
+4.35000E-03,+729.24995E-03,-3.43000031E+00,-3.62000084E+00,+1.36999893E+00
+4.40000E-03,+1.04174995E+00,-2.80500031E+00,-1.74500084E+00,-2.38000107E+00
+4.45000E-03,+635.49995E-03,+14.06999969E+00,-11.12000084E+00,+9.49499893E+00
+4.50000E-03,+604.24995E-03,-4.05500031E+00,-2.99500084E+00,+1.36999893E+00
+4.55000E-03,+854.24995E-03,-4.05500031E+00,-2.99500084E+00,+1.36999893E+00
+4.60000E-03,+1.10424995E+00,-3.43000031E+00,-2.37000084E+00,+744.99893E-03
+4.65000E-03,+1.13549995E+00,+14.69499969E+00,-10.49500084E+00,+8.24499893E+00
+4.70000E-03,+635.49995E-03,+14.06999969E+00,-10.49500084E+00,+8.86999893E+00
+4.75000E-03,+697.99995E-03,-3.43000031E+00,-2.37000084E+00,+744.99893E-03
+4.80000E-03,+916.74995E-03,-4.05500031E+00,-2.37000084E+00,+1.36999893E+00
+4.85000E-03,+1.01049995E+00,-2.80500031E+00,-2.37000084E+00,+1.36999893E+00
+4.90000E-03,+791.74995E-03,+14.06999969E+00,-11.12000084E+00,+8.24499893E+00
+4.95000E-03,+479.24995E-03,+14.69499969E+00,-10.49500084E+00,+8.24499893E+00
+5.00000E-03,+604.24995E-03,-4.05500031E+00,-2.99500084E+00,+119.99893E-03
+5.05000E-03,+760.49995E-03,-4.05500031E+00,-2.37000084E+00,+119.99893E-03
+5.10000E-03,+885.49995E-03,-2.80500031E+00,-1.74500084E+00,-505.00107E-03
+5.15000E-03,+541.74995E-03,+14.69499969E+00,-11.12000084E+00,+7.61999893E+00
+5.20000E-03,+416.74995E-03,+2.19499969E+00,-4.87000084E+00,+1.99499893E+00
+5.25000E-03,+572.99995E-03,-2.80500031E+00,-2.99500084E+00,-505.00107E-03
+5.30000E-03,+729.24995E-03,-3.43000031E+00,-2.37000084E+00,-505.00107E-03
+5.35000E-03,+916.74995E-03,+14.06999969E+00,-10.49500084E+00,+6.36999893E+00
+5.40000E-03,+447.99995E-03,+14.69499969E+00,-10.49500084E+00,+6.99499893E+00
+5.45000E-03,+416.74995E-03,+2.19499969E+00,-4.87000084E+00,+1.36999893E+00
+5.50000E-03,+604.24995E-03,-3.43000031E+00,-2.37000084E+00,-1.13000107E+00
+5.55000E-03,+729.24995E-03,-2.80500031E+00,-2.99500084E+00,-505.00107E-03
+5.60000E-03,+697.99995E-03,+14.69499969E+00,-9.87000084E+00,+5.74499893E+00
+5.65000E-03,+416.74995E-03,+14.69499969E+00,-10.49500084E+00,+6.36999893E+00
+5.70000E-03,+479.24995E-03,+2.81999969E+00,-6.12000084E+00,+744.99893E-03
+5.75000E-03,+604.24995E-03,-2.80500031E+00,-1.74500084E+00,-505.00107E-03
+5.80000E-03,+760.49995E-03,-3.43000031E+00,-1.74500084E+00,-2.38000107E+00
+5.85000E-03,+541.74995E-03,+14.69499969E+00,-9.87000084E+00,+4.49499893E+00
+5.90000E-03,+385.49995E-03,+14.06999969E+00,-10.49500084E+00,+7.61999893E+00
+5.95000E-03,+479.24995E-03,+2.81999969E+00,-6.12000084E+00,+119.99893E-03
+6.00000E-03,+604.24995E-03,-3.43000031E+00,-2.99500084E+00,-1.75500107E+00
+6.05000E-03,+729.24995E-03,-4.05500031E+00,-2.37000084E+00,-3.00500107E+00
+6.10000E-03,+447.99995E-03,+14.69499969E+00,-10.49500084E+00,+4.49499893E+00
+6.15000E-03,+385.49995E-03,+4.69499969E+00,-5.49500084E+00,+119.99893E-03
+6.20000E-03,+510.49995E-03,+3.44499969E+00,-4.87000084E+00,-505.00107E-03
+6.25000E-03,+635.49995E-03,-3.43000031E+00,-2.37000084E+00,-2.38000107E+00
+6.30000E-03,+666.74995E-03,+15.31999969E+00,-10.49500084E+00,+3.86999893E+00
+6.35000E-03,+354.24995E-03,+15.31999969E+00,-9.87000084E+00,+3.86999893E+00
+6.40000E-03,+385.49995E-03,+4.06999969E+00,-5.49500084E+00,+119.99893E-03
+6.45000E-03,+510.49995E-03,-2.80500031E+00,-2.37000084E+00,-3.00500107E+00
+6.50000E-03,+635.49995E-03,-2.80500031E+00,-1.74500084E+00,-2.38000107E+00
+6.55000E-03,+541.74995E-03,+15.31999969E+00,-9.87000084E+00,+2.61999893E+00
+6.60000E-03,+354.24995E-03,+15.94499969E+00,-9.87000084E+00,+2.61999893E+00
+6.65000E-03,+416.74995E-03,+4.06999969E+00,-4.87000084E+00,-1.13000107E+00
+6.70000E-03,+541.74995E-03,-2.80500031E+00,-1.74500084E+00,-3.00500107E+00
+6.75000E-03,+666.74995E-03,-2.80500031E+00,-2.37000084E+00,-2.38000107E+00
+6.80000E-03,+447.99995E-03,+15.31999969E+00,-9.87000084E+00,+1.99499893E+00
+6.85000E-03,+322.99995E-03,+4.69499969E+00,-4.24500084E+00,-1.13000107E+00
+6.90000E-03,+479.24995E-03,+2.81999969E+00,-4.24500084E+00,-1.75500107E+00
+6.95000E-03,+604.24995E-03,-2.80500031E+00,-2.37000084E+00,-1.75500107E+00
+7.00000E-03,+760.49995E-03,-2.80500031E+00,-1.74500084E+00,-3.00500107E+00
+7.05000E-03,+416.74995E-03,+15.94499969E+00,-9.24500084E+00,+1.36999893E+00
+7.10000E-03,+385.49995E-03,+3.44499969E+00,-4.87000084E+00,-1.13000107E+00
+7.15000E-03,+541.74995E-03,+4.69499969E+00,-4.24500084E+00,-4.25500107E+00
+7.20000E-03,+666.74995E-03,-2.80500031E+00,-1.74500084E+00,-3.00500107E+00
+7.25000E-03,+666.74995E-03,+15.31999969E+00,-9.24500084E+00,+1.36999893E+00
+7.30000E-03,+354.24995E-03,+16.56999969E+00,-9.24500084E+00,+119.99893E-03
+7.35000E-03,+322.99995E-03,+4.69499969E+00,-4.24500084E+00,-3.63000107E+00
+7.40000E-03,+791.74995E-03,-2.18000031E+00,-1.74500084E+00,-1.75500107E+00
+7.45000E-03,+1.10424995E+00,-2.80500031E+00,-2.37000084E+00,-1.75500107E+00
+7.50000E-03,+916.74995E-03,+18.44499969E+00,-8.62000084E+00,-6.75500107E+00
+7.55000E-03,+572.99995E-03,+17.81999969E+00,-7.99500084E+00,-6.13000107E+00
+7.60000E-03,+760.49995E-03,-2.80500031E+00,-2.37000084E+00,-1.13000107E+00
+7.65000E-03,+1.01049995E+00,-2.80500031E+00,-2.37000084E+00,-1.75500107E+00
+7.70000E-03,+1.22924995E+00,-2.18000031E+00,-1.74500084E+00,-1.13000107E+00
+7.75000E-03,+760.49995E-03,+18.44499969E+00,-7.37000084E+00,-6.75500107E+00
+7.80000E-03,+604.24995E-03,+1.56999969E+00,-3.62000084E+00,-2.38000107E+00
+7.85000E-03,+791.74995E-03,-2.18000031E+00,-1.12000084E+00,-1.13000107E+00
+7.90000E-03,+1.04174995E+00,-2.18000031E+00,-1.12000084E+00,-1.75500107E+00
+7.95000E-03,+1.19799995E+00,+17.81999969E+00,-7.37000084E+00,-6.75500107E+00
+8.00000E-03,+635.49995E-03,+19.06999969E+00,-7.37000084E+00,-6.13000107E+00
+8.05000E-03,+666.74995E-03,-2.18000031E+00,-1.74500084E+00,-1.13000107E+00
+8.10000E-03,+885.49995E-03,-2.18000031E+00,-1.74500084E+00,-1.13000107E+00
+8.15000E-03,+1.10424995E+00,-2.18000031E+00,-1.74500084E+00,-1.13000107E+00
+8.20000E-03,+1.01049995E+00,+19.06999969E+00,-6.74500084E+00,-6.75500107E+00
+8.25000E-03,+604.24995E-03,+18.44499969E+00,-7.37000084E+00,-6.75500107E+00
+8.30000E-03,+760.49995E-03,-1.55500031E+00,-1.74500084E+00,-1.13000107E+00
+8.35000E-03,+916.74995E-03,-1.55500031E+00,-1.12000084E+00,-1.13000107E+00
+8.40000E-03,+1.07299995E+00,-2.80500031E+00,-1.74500084E+00,+119.99893E-03
+8.45000E-03,+760.49995E-03,+17.19499969E+00,-495.00084E-03,-8.00500107E+00
+8.50000E-03,+479.24995E-03,+19.06999969E+00,-7.37000084E+00,-6.75500107E+00
+8.55000E-03,+666.74995E-03,-2.18000031E+00,-1.12000084E+00,-1.75500107E+00
+8.60000E-03,+822.99995E-03,-1.55500031E+00,-2.37000084E+00,-1.13000107E+00
+8.65000E-03,+947.99995E-03,-2.18000031E+00,-1.74500084E+00,-1.13000107E+00
+8.70000E-03,+510.49995E-03,+17.19499969E+00,+129.99916E-03,-8.63000107E+00
+8.75000E-03,+479.24995E-03,+4.69499969E+00,-3.62000084E+00,-3.00500107E+00
+8.80000E-03,+604.24995E-03,-2.18000031E+00,-1.74500084E+00,-1.75500107E+00
+8.85000E-03,+697.99995E-03,-2.18000031E+00,-1.74500084E+00,-1.13000107E+00
+8.90000E-03,+729.24995E-03,+16.56999969E+00,+1.37999916E+00,-8.00500107E+00
+8.95000E-03,+385.49995E-03,+17.19499969E+00,+2.00499916E+00,-9.25500107E+00
+9.00000E-03,+447.99995E-03,+5.31999969E+00,-495.00084E-03,-4.88000107E+00
+9.05000E-03,+572.99995E-03,-2.80500031E+00,-1.74500084E+00,-1.13000107E+00
+9.10000E-03,+729.24995E-03,-2.18000031E+00,-2.37000084E+00,-1.75500107E+00
+9.15000E-03,+541.74995E-03,+16.56999969E+00,+2.00499916E+00,-8.63000107E+00
+9.20000E-03,+322.99995E-03,+15.94499969E+00,+2.62999916E+00,-9.25500107E+00
+9.25000E-03,+447.99995E-03,+4.69499969E+00,-1.74500084E+00,-4.25500107E+00
+9.30000E-03,+604.24995E-03,-2.18000031E+00,-1.74500084E+00,-1.75500107E+00
+9.35000E-03,+666.74995E-03,-3.43000031E+00,-1.74500084E+00,-1.13000107E+00
+9.40000E-03,+447.99995E-03,+15.94499969E+00,+2.62999916E+00,-9.25500107E+00
+9.45000E-03,+385.49995E-03,+4.69499969E+00,-1.12000084E+00,-4.88000107E+00
+9.50000E-03,+447.99995E-03,+4.06999969E+00,-495.00084E-03,-4.88000107E+00
+9.55000E-03,+572.99995E-03,-2.80500031E+00,-2.37000084E+00,-1.75500107E+00
+9.60000E-03,+729.24995E-03,-3.43000031E+00,+129.99916E-03,-1.75500107E+00
+9.65000E-03,+385.49995E-03,+15.94499969E+00,+3.87999916E+00,-9.88000107E+00
+9.70000E-03,+385.49995E-03,+4.06999969E+00,+129.99916E-03,-5.50500107E+00
+9.75000E-03,+479.24995E-03,+3.44499969E+00,+2.62999916E+00,-5.50500107E+00
+9.80000E-03,+635.49995E-03,-2.80500031E+00,-2.37000084E+00,-1.75500107E+00
+9.85000E-03,+604.24995E-03,+15.94499969E+00,+3.87999916E+00,-9.25500107E+00
+9.90000E-03,+322.99995E-03,+15.94499969E+00,+3.25499916E+00,-9.88000107E+00
+9.95000E-03,+447.99995E-03,+4.06999969E+00,+129.99916E-03,-4.88000107E+00
+10.00000E-03,+541.74995E-03,-2.80500031E+00,-1.74500084E+00,-1.75500107E+00
+10.05000E-03,+666.74995E-03,-2.80500031E+00,-1.74500084E+00,-2.38000107E+00
+10.10000E-03,+541.74995E-03,+15.31999969E+00,+4.50499916E+00,-9.88000107E+00
+10.15000E-03,+354.24995E-03,+15.31999969E+00,+3.25499916E+00,-9.88000107E+00
+10.20000E-03,+479.24995E-03,+3.44499969E+00,+129.99916E-03,-5.50500107E+00
+10.25000E-03,+572.99995E-03,-2.80500031E+00,-1.74500084E+00,-3.00500107E+00
+10.30000E-03,+729.24995E-03,-2.18000031E+00,-2.99500084E+00,-2.38000107E+00
+10.35000E-03,+416.74995E-03,+15.31999969E+00,+5.12999916E+00,-10.50500107E+00
+10.40000E-03,+385.49995E-03,+4.06999969E+00,+1.37999916E+00,-5.50500107E+00
+10.45000E-03,+541.74995E-03,+1.56999969E+00,-2.37000084E+00,-4.25500107E+00
+10.50000E-03,+729.24995E-03,+2.19499969E+00,-3.62000084E+00,-4.25500107E+00
+10.55000E-03,+979.24995E-03,+10.31999969E+00,+13.87999916E+00,-11.75500107E+00
+10.60000E-03,+635.49995E-03,+10.31999969E+00,+14.50499916E+00,-11.75500107E+00
+10.65000E-03,+729.24995E-03,+1.56999969E+00,-3.62000084E+00,-3.63000107E+00
+10.70000E-03,+1.04174995E+00,+944.99969E-03,-4.24500084E+00,-3.00500107E+00
+10.75000E-03,+1.32299995E+00,+1.56999969E+00,-3.62000084E+00,-3.63000107E+00
+10.80000E-03,+1.26049995E+00,+9.06999969E+00,+14.50499916E+00,-11.75500107E+00
+10.85000E-03,+822.99995E-03,+8.44499969E+00,+14.50499916E+00,-11.75500107E+00
+10.90000E-03,+947.99995E-03,+944.99969E-03,-3.62000084E+00,-3.63000107E+00
+10.95000E-03,+1.22924995E+00,+319.99969E-03,-4.24500084E+00,-3.63000107E+00
+11.00000E-03,+1.47924995E+00,+1.56999969E+00,-3.62000084E+00,-3.00500107E+00
+11.05000E-03,+1.10424995E+00,+8.44499969E+00,+14.50499916E+00,-11.13000107E+00
+11.10000E-03,+729.24995E-03,+6.56999969E+00,+14.50499916E+00,-11.13000107E+00
+11.15000E-03,+979.24995E-03,-305.00031E-03,-3.62000084E+00,-3.00500107E+00
+11.20000E-03,+1.13549995E+00,+319.99969E-03,-4.24500084E+00,-3.00500107E+00
+11.25000E-03,+1.22924995E+00,-3.43000031E+00,-2.99500084E+00,-2.38000107E+00
+11.30000E-03,+666.74995E-03,+7.19499969E+00,+14.50499916E+00,-11.13000107E+00
+11.35000E-03,+572.99995E-03,-305.00031E-03,-3.62000084E+00,-3.63000107E+00
+11.40000E-03,+697.99995E-03,-930.00031E-03,-3.62000084E+00,-3.00500107E+00
+11.45000E-03,+822.99995E-03,-930.00031E-03,-3.62000084E+00,-3.00500107E+00
+11.50000E-03,+822.99995E-03,+5.94499969E+00,+15.12999916E+00,-11.13000107E+00
+11.55000E-03,+416.74995E-03,+6.56999969E+00,+15.12999916E+00,-10.50500107E+00
+11.60000E-03,+510.49995E-03,+319.99969E-03,+1.37999916E+00,-5.50500107E+00
+11.65000E-03,+635.49995E-03,-1.55500031E+00,-4.24500084E+00,-3.00500107E+00
+11.70000E-03,+760.49995E-03,-2.18000031E+00,-3.62000084E+00,-3.63000107E+00
+11.75000E-03,+635.49995E-03,+5.94499969E+00,+14.50499916E+00,-11.75500107E+00
+11.80000E-03,+385.49995E-03,+6.56999969E+00,+15.12999916E+00,-11.13000107E+00
+11.85000E-03,+510.49995E-03,+319.99969E-03,+3.25499916E+00,-6.13000107E+00
+11.90000E-03,+666.74995E-03,-2.18000031E+00,-3.62000084E+00,-2.38000107E+00
+11.95000E-03,+729.24995E-03,-930.00031E-03,-3.62000084E+00,-3.00500107E+00
+12.00000E-03,+510.49995E-03,+4.69499969E+00,+14.50499916E+00,-10.50500107E+00
+12.05000E-03,+416.74995E-03,+319.99969E-03,+3.25499916E+00,-6.13000107E+00
+12.10000E-03,+541.74995E-03,-305.00031E-03,+3.87999916E+00,-6.13000107E+00
+12.15000E-03,+666.74995E-03,-2.18000031E+00,-3.62000084E+00,-3.00500107E+00
+12.20000E-03,+791.74995E-03,+7.19499969E+00,-2.37000084E+00,-7.38000107E+00
+12.25000E-03,+416.74995E-03,+4.06999969E+00,+15.12999916E+00,-10.50500107E+00
+12.30000E-03,+385.49995E-03,-305.00031E-03,+3.87999916E+00,-6.13000107E+00
+12.35000E-03,+510.49995E-03,-2.80500031E+00,-2.99500084E+00,-3.00500107E+00
+12.40000E-03,+666.74995E-03,-3.43000031E+00,-3.62000084E+00,-3.63000107E+00
+12.45000E-03,+604.24995E-03,+3.44499969E+00,+15.12999916E+00,-11.13000107E+00
+12.50000E-03,+354.24995E-03,+4.06999969E+00,+15.75499916E+00,-11.13000107E+00
+12.55000E-03,+447.99995E-03,-305.00031E-03,+3.87999916E+00,-6.13000107E+00
+12.60000E-03,+541.74995E-03,-3.43000031E+00,-3.62000084E+00,-2.38000107E+00
+12.65000E-03,+666.74995E-03,-3.43000031E+00,-4.24500084E+00,-2.38000107E+00
+12.70000E-03,+510.49995E-03,+2.19499969E+00,+15.12999916E+00,-11.13000107E+00
+12.75000E-03,+354.24995E-03,+2.81999969E+00,+15.75499916E+00,-11.13000107E+00
+12.80000E-03,+447.99995E-03,-1.55500031E+00,+3.87999916E+00,-4.25500107E+00
+12.85000E-03,+572.99995E-03,-3.43000031E+00,-2.99500084E+00,-2.38000107E+00
+12.90000E-03,+666.74995E-03,-3.43000031E+00,-3.62000084E+00,-2.38000107E+00
+12.95000E-03,+416.74995E-03,+1.56999969E+00,+16.37999916E+00,-11.13000107E+00
+13.00000E-03,+354.24995E-03,-930.00031E-03,+4.50499916E+00,-6.13000107E+00
+13.05000E-03,+510.49995E-03,-2.18000031E+00,+3.25499916E+00,-5.50500107E+00
+13.10000E-03,+635.49995E-03,-2.80500031E+00,-2.99500084E+00,-2.38000107E+00
+13.15000E-03,+635.49995E-03,+944.99969E-03,+15.75499916E+00,-9.88000107E+00
+13.20000E-03,+385.49995E-03,+944.99969E-03,+15.75499916E+00,-9.88000107E+00
+13.25000E-03,+447.99995E-03,-2.18000031E+00,+3.87999916E+00,-5.50500107E+00
+13.30000E-03,+541.74995E-03,-3.43000031E+00,-2.99500084E+00,-3.00500107E+00
+13.35000E-03,+666.74995E-03,-2.80500031E+00,-2.99500084E+00,-3.00500107E+00
+13.40000E-03,+572.99995E-03,+319.99969E-03,+16.37999916E+00,-9.88000107E+00
+13.45000E-03,+385.49995E-03,-305.00031E-03,+16.37999916E+00,-9.88000107E+00
+13.50000E-03,+447.99995E-03,-2.18000031E+00,+3.87999916E+00,-5.50500107E+00
+13.55000E-03,+604.24995E-03,-3.43000031E+00,-2.99500084E+00,-3.00500107E+00
+13.60000E-03,+885.49995E-03,-2.80500031E+00,-2.37000084E+00,-3.00500107E+00
+13.65000E-03,+729.24995E-03,-8.43000031E+00,+18.25499916E+00,-8.63000107E+00
+13.70000E-03,+635.49995E-03,-7.18000031E+00,+17.62999916E+00,-8.00500107E+00
+13.75000E-03,+854.24995E-03,-2.18000031E+00,-2.99500084E+00,-1.75500107E+00
+13.80000E-03,+1.07299995E+00,-2.18000031E+00,-2.99500084E+00,-3.00500107E+00
+13.85000E-03,+1.22924995E+00,-1.55500031E+00,-2.37000084E+00,-3.00500107E+00
+13.90000E-03,+697.99995E-03,-7.18000031E+00,+18.25499916E+00,-8.00500107E+00
+13.95000E-03,+697.99995E-03,-2.18000031E+00,-2.37000084E+00,-3.00500107E+00
+14.00000E-03,+885.49995E-03,-1.55500031E+00,-2.37000084E+00,-2.38000107E+00
+14.05000E-03,+1.07299995E+00,-2.80500031E+00,-2.99500084E+00,-3.00500107E+00
+14.10000E-03,+1.04174995E+00,-7.80500031E+00,+18.87999916E+00,-7.38000107E+00
+14.15000E-03,+604.24995E-03,-7.80500031E+00,+18.87999916E+00,-7.38000107E+00
+14.20000E-03,+729.24995E-03,-1.55500031E+00,-2.37000084E+00,-2.38000107E+00
+14.25000E-03,+916.74995E-03,-2.18000031E+00,-2.37000084E+00,-2.38000107E+00
+14.30000E-03,+1.10424995E+00,-1.55500031E+00,-2.37000084E+00,-3.00500107E+00
+14.35000E-03,+885.49995E-03,-7.18000031E+00,+18.87999916E+00,-8.63000107E+00
+14.40000E-03,+604.24995E-03,-7.80500031E+00,+18.87999916E+00,-8.00500107E+00
+14.45000E-03,+791.74995E-03,-2.18000031E+00,-2.37000084E+00,-3.00500107E+00
+14.50000E-03,+979.24995E-03,-2.18000031E+00,-2.99500084E+00,-2.38000107E+00
+14.55000E-03,+1.16674995E+00,-2.18000031E+00,-2.37000084E+00,-3.00500107E+00
+14.60000E-03,+760.49995E-03,-7.18000031E+00,+19.50499916E+00,-8.00500107E+00
+14.65000E-03,+604.24995E-03,-4.05500031E+00,+4.50499916E+00,-3.63000107E+00
+14.70000E-03,+822.99995E-03,-2.18000031E+00,-2.37000084E+00,-2.38000107E+00
+14.75000E-03,+947.99995E-03,-1.55500031E+00,-2.37000084E+00,-3.00500107E+00
+14.80000E-03,+1.07299995E+00,-9.68000031E+00,+17.00499916E+00,-505.00107E-03
+14.85000E-03,+604.24995E-03,-9.05500031E+00,+18.25499916E+00,-1.75500107E+00
+14.90000E-03,+541.74995E-03,-2.80500031E+00,+3.87999916E+00,-3.63000107E+00
+14.95000E-03,+697.99995E-03,-2.18000031E+00,-2.37000084E+00,-2.38000107E+00
+15.00000E-03,+822.99995E-03,-1.55500031E+00,-2.37000084E+00,-2.38000107E+00
+15.05000E-03,+729.24995E-03,-9.68000031E+00,+16.37999916E+00,+119.99893E-03
+15.10000E-03,+385.49995E-03,-9.05500031E+00,+17.00499916E+00,-505.00107E-03
+15.15000E-03,+510.49995E-03,-4.05500031E+00,+3.87999916E+00,-3.63000107E+00
+15.20000E-03,+635.49995E-03,-2.18000031E+00,-2.99500084E+00,-1.75500107E+00
+15.25000E-03,+697.99995E-03,-1.55500031E+00,-2.37000084E+00,-2.38000107E+00
+15.30000E-03,+510.49995E-03,-10.30500031E+00,+17.62999916E+00,+1.36999893E+00
+15.35000E-03,+385.49995E-03,-10.93000031E+00,+15.75499916E+00,+5.11999893E+00
+15.40000E-03,+510.49995E-03,-3.43000031E+00,+3.87999916E+00,-3.63000107E+00
+15.45000E-03,+635.49995E-03,-2.18000031E+00,-2.37000084E+00,-3.00500107E+00
+15.50000E-03,+729.24995E-03,-1.55500031E+00,-2.37000084E+00,-1.75500107E+00
+15.55000E-03,+447.99995E-03,-10.30500031E+00,+15.75499916E+00,+1.99499893E+00
+15.60000E-03,+385.49995E-03,-5.30500031E+00,+4.50499916E+00,-1.13000107E+00
+15.65000E-03,+510.49995E-03,-2.80500031E+00,+2.00499916E+00,-4.88000107E+00
+15.70000E-03,+604.24995E-03,-2.18000031E+00,-2.99500084E+00,-2.38000107E+00
+15.75000E-03,+666.74995E-03,-10.30500031E+00,+15.75499916E+00,+1.99499893E+00
+15.80000E-03,+354.24995E-03,-9.68000031E+00,+15.75499916E+00,+1.99499893E+00
+15.85000E-03,+385.49995E-03,-5.30500031E+00,+4.50499916E+00,-505.00107E-03
+15.90000E-03,+541.74995E-03,-2.80500031E+00,-2.37000084E+00,-2.38000107E+00
+15.95000E-03,+666.74995E-03,-2.18000031E+00,-2.37000084E+00,-2.38000107E+00
+16.00000E-03,+510.49995E-03,-10.93000031E+00,+15.75499916E+00,+3.24499893E+00
+16.05000E-03,+322.99995E-03,-10.93000031E+00,+15.12999916E+00,+3.24499893E+00
+16.10000E-03,+416.74995E-03,-5.93000031E+00,+4.50499916E+00,+119.99893E-03
+16.15000E-03,+572.99995E-03,-2.80500031E+00,-2.37000084E+00,-2.38000107E+00
+16.20000E-03,+666.74995E-03,-2.80500031E+00,-2.99500084E+00,-3.00500107E+00
+16.25000E-03,+447.99995E-03,-10.93000031E+00,+15.12999916E+00,+3.86999893E+00
+16.30000E-03,+354.24995E-03,-5.93000031E+00,+4.50499916E+00,+119.99893E-03
+16.35000E-03,+510.49995E-03,-5.30500031E+00,+3.87999916E+00,+119.99893E-03
+16.40000E-03,+635.49995E-03,-2.80500031E+00,-2.99500084E+00,-2.38000107E+00
+16.45000E-03,+729.24995E-03,-3.43000031E+00,-2.99500084E+00,-1.75500107E+00
+16.50000E-03,+385.49995E-03,-10.93000031E+00,+15.75499916E+00,+3.24499893E+00
+16.55000E-03,+385.49995E-03,-5.93000031E+00,+3.87999916E+00,+744.99893E-03
+16.60000E-03,+541.74995E-03,-2.80500031E+00,-2.99500084E+00,-2.38000107E+00
+16.65000E-03,+697.99995E-03,-2.80500031E+00,-2.37000084E+00,-2.38000107E+00
+16.70000E-03,+666.74995E-03,-11.55500031E+00,+15.12999916E+00,+4.49499893E+00
+16.75000E-03,+354.24995E-03,-12.18000031E+00,+9.50499916E+00,+13.86999893E+00
+16.80000E-03,+510.49995E-03,-3.43000031E+00,+2.00499916E+00,-4.25500107E+00
+16.85000E-03,+854.24995E-03,-4.05500031E+00,+2.00499916E+00,-4.88000107E+00
+16.90000E-03,+1.16674995E+00,-4.68000031E+00,+2.62999916E+00,-4.88000107E+00
+16.95000E-03,+1.01049995E+00,-12.18000031E+00,+10.12999916E+00,+13.24499893E+00
+17.00000E-03,+697.99995E-03,-12.18000031E+00,+8.87999916E+00,+15.11999893E+00
+17.05000E-03,+979.24995E-03,-4.05500031E+00,+754.99916E-03,-4.25500107E+00
+17.10000E-03,+1.29174995E+00,-3.43000031E+00,+1.37999916E+00,-4.25500107E+00
+17.15000E-03,+1.57299995E+00,-4.68000031E+00,+2.00499916E+00,-4.25500107E+00
+17.20000E-03,+1.07299995E+00,-12.18000031E+00,+8.25499916E+00,+14.49499893E+00
+17.25000E-03,+822.99995E-03,-4.68000031E+00,+754.99916E-03,-4.25500107E+00
+17.30000E-03,+1.13549995E+00,-3.43000031E+00,+754.99916E-03,-4.25500107E+00
+17.35000E-03,+1.38549995E+00,-4.05500031E+00,+754.99916E-03,-4.25500107E+00
+17.40000E-03,+1.51049995E+00,-11.55500031E+00,+7.62999916E+00,+14.49499893E+00
+17.45000E-03,+854.24995E-03,-12.80500031E+00,+8.25499916E+00,+13.86999893E+00
+17.50000E-03,+791.74995E-03,-3.43000031E+00,+129.99916E-03,-3.63000107E+00
+17.55000E-03,+979.24995E-03,-3.43000031E+00,+129.99916E-03,-4.25500107E+00
+17.60000E-03,+1.07299995E+00,-4.05500031E+00,-495.00084E-03,-4.25500107E+00
+17.65000E-03,+854.24995E-03,-12.18000031E+00,+7.62999916E+00,+13.86999893E+00
+17.70000E-03,+447.99995E-03,-10.93000031E+00,+6.37999916E+00,+15.11999893E+00
+17.75000E-03,+604.24995E-03,-3.43000031E+00,-495.00084E-03,-3.63000107E+00
+17.80000E-03,+729.24995E-03,-4.05500031E+00,-495.00084E-03,-3.63000107E+00
+17.85000E-03,+822.99995E-03,-3.43000031E+00,+129.99916E-03,-4.25500107E+00
